texto_estandar,fecha_detectada,lugar,longitud_tokens,verbo_principal,cambios,es_ambiguo,es_fecha_default,id_original
Cerrar la maleta con la lista de verificación.,2026-02-21T00:00:00,,10,Cerrar,"[""Se agregó 'la' antes de 'maleta' para mayor claridad."", ""Se cambió 'checklist' por 'lista de verificación' para mayor naturalidad.""]",False,True,99
Crear la cuenta de Amazon y confirmar la recepción.,2026-02-21T00:00:00,,12,Crear,"[""Se agregó 'la cuenta de' para mayor claridad."", 'Se ajustó la redacción para que suene más natural.']",False,True,100
Visitar la lista de lugares.,2026-02-21T00:00:00,,5,Visitar,[],False,True,101
Pagar el paseo,2026-02-21T00:00:00,,4,Pagar,"[""Se agregó el artículo 'el' para mayor claridad.""]",False,True,102
Definir la reservación.,2026-02-21T00:00:00,,5,Definir,[],False,True,103
Solicitar el cine y archivar.,2026-02-21T00:00:00,,8,Solicitar,[],False,True,104
Validar la cuenta de Amazon y confirmar la recepción.,2026-02-21T00:00:00,,12,Validar,"[""Se agregó 'la cuenta de' para mayor claridad."", 'Se ajustó la frase para que suene más natural.']",False,True,105
Responder sobre el cine,2026-02-21T00:00:00,,5,Responder,['Reformulación para mayor claridad'],False,True,106
Revisar opciones para Amazon,2026-02-21T00:00:00,,6,Revisar,[],False,True,107
Revisar la lista de lugares.,2026-02-21T00:00:00,,6,Revisar,[],False,True,108
Definir el hotel,2026-02-21T00:00:00,,4,Definir,[],False,True,109
Comprar ropa,2026-02-21T00:00:00,,3,Comprar,[],False,True,110
Descargar un hotel.,2026-02-21T00:00:00,,5,Descargar,"[""Reformulación de 'una hotel' a 'un hotel'.""]",False,True,111
Cerrar la ropa,2026-02-21T00:00:00,,4,Cerrar,['Reformulación para mayor claridad'],False,True,112
Pasear.,2026-02-21T00:00:00,,1,Pasear,[],False,True,113
Llenar el hotel y archivar.,2026-02-21T00:00:00,,7,Llenar,[],False,True,114
Ir al cine,2026-02-21T00:00:00,cine,4,Ir,[],False,True,115
Reflexionar sobre Amazon.,2026-02-21T00:00:00,,5,Reflexionar,[],False,True,116
Definir la ropa,2026-02-21T00:00:00,,4,Definir,[],False,True,117
Revisar Amazon,2026-02-21T00:00:00,,3,Revisar,[],False,True,118
Preparar la maleta,2026-02-21T00:00:00,,4,Preparar,[],False,True,119
Guardar un paseo y dejar evidencia.,2026-02-21T00:00:00,,10,Guardar,['Reformulación para mayor claridad'],False,True,120
Comparar un hotel antes de las 18:00:00,2026-02-21T00:00:00,,10,Comparar,"[""ajustar 'antes de las 6pm' a 'antes de las 18:00:00'""]",False,True,121
Actualizar el cine,2026-02-21T00:00:00,,4,Actualizar,"[""Reformulación de 'actualizar una cine' a 'Actualizar el cine'""]",False,True,122
Revisar el hotel,2026-02-21T00:00:00,,4,Revisar,[],False,True,123
Asistir a la clase de paseo.,2026-02-21T00:00:00,,7,Asistir,['Reformulación para mayor claridad y naturalidad.'],False,True,124
Investigar sobre reservaciones.,2026-02-21T00:00:00,,5,Investigar,[],False,True,125
Llamar para coordinar un paseo.,2026-02-21T00:00:00,,7,Llamar,['Reformulación de la frase para mayor claridad.'],False,True,126
Reflexionar sobre la maleta.,2026-02-21T00:00:00,,5,Reflexionar,[],False,True,127
Investigar sobre maletas.,2026-02-21T00:00:00,,4,Investigar,"[""Reformulación de 'tema por investigar: maleta' a 'Investigar sobre maletas.'""]",False,True,128
Preparar mi maleta,2026-02-21T00:00:00,,4,Preparar,[],False,True,129
Definir Amazon,2026-02-21T00:00:00,,3,Definir,[],False,True,130
Revisar las prioridades del hotel.,2026-02-21T00:00:00,hotel,7,Revisar,"[""Se agregó el artículo 'las' para mayor claridad.""]",False,True,131
Agendar cita para ropa.,2026-02-21T00:00:00,,6,Agendar,['Reformulación para mayor claridad.'],False,True,132
Programar el hotel en el calendario,2026-02-21T00:00:00,,8,Programar,"[""Se agregó el artículo 'el' para mayor claridad.""]",False,True,133
Asistir a la clase en el parque de diversiones a las 07:30,2026-02-20T07:30:00,parque de diversiones,12,Asistir,"['Reformulación de la frase para mayor claridad', 'Extracción del lugar']",False,False,134
Ver bloque de stand up comedy el 2026-06-28 a las 19:00.,2026-06-28T19:00:00,,12,Ver,"['Reformulación de la frase para mayor claridad', 'Cambio de formato de hora a 24 horas']",False,False,135
Asistir a stand up comedy este viernes a las 19:00.,2026-02-24T19:00:00,,10,Asistir,"['Reformulación de la frase para mayor claridad', ""Cambio de '7:00' a '19:00' para formato de 24 horas""]",False,False,136
Agendar bloque de tarde de arcade a las 20:00,2026-03-14T20:00:00,,10,Agendar,"['Reformulación de la frase para mayor claridad', 'Ajuste de la fecha basada en la referencia temporal']",False,False,137
Ir al bloque de parque de diversiones el viernes a las 11:00 por 30 minutos.,2026-02-24T11:00:00,bloque de parque de diversiones,15,Ir,"['Reformulación de la frase para mayor claridad', 'Ajuste de la fecha y hora según el contexto']",False,False,138
Ir al bar con música en vivo a las 19:30,2026-02-25T19:30:00,bar,10,Ir,"['Reformulación de la frase para mayor claridad', ""Cambio de '7:30' a '19:30' para formato de 24 horas""]",False,False,139
Cantar en el karaoke el 2026-03-21 a las 9:30,2026-03-21T09:30:00,,10,Cantar,"['Reformulación de la frase para mayor claridad', 'Extracción de la fecha explícita']",False,False,140
Asistir a la sesión de bar con música en vivo.,2026-06-17T10:00:00,bar,10,Asistir,"['Reformulación de la frase para mayor claridad', ""Extracción del lugar 'bar'""]",False,False,141
Poner gasolina al auto,2026-02-21T00:00:00,,5,Poner,[],False,True,142
Solicitar una cita en la agencia para el servicio del auto.,2026-02-21T00:00:00,agencia,14,Solicitar,"[""Se agregó 'una' antes de 'cita' para mayor claridad."", ""Se ajustó 'servicio de auto' a 'servicio del auto'.""]",False,True,143
Comprar alimento para mascotas,2026-02-21T00:00:00,,5,Comprar,[],False,True,144
Renovar la credencial del super,2026-02-21T00:00:00,,7,Renovar,[],False,True,145
Tramitar la renovación de la tarjeta de circulación.,2026-02-21T00:00:00,,10,Tramitar,"[""Se agregó 'la' antes de 'renovación' para mayor claridad.""]",False,True,146
Lavar el patio,2026-02-21T00:00:00,,4,Lavar,[],False,True,147
Lavar la ropa,2026-02-21T00:00:00,,3,Lavar,[],False,True,148
Llevar la laptop a reparar.,2026-02-21T00:00:00,,7,Llevar,[],False,True,149
Comprar plantas para la sala,2026-02-21T00:00:00,sala,6,Comprar,[],False,True,150
Comprar leche y huevos.,2026-02-21T00:00:00,,5,Comprar,[],False,True,151
Renovar la licencia,2026-02-21T00:00:00,,4,Renovar,[],False,True,152
Organizar el departamento.,2026-02-21T00:00:00,,4,Organizar,"[""Reformulación de 'mi organizacion del depa' a 'Organizar el departamento.'""]",False,True,153
Revisar el baño,2026-02-21T00:00:00,,4,Revisar,[],False,True,154
Organizar el supermercado con checklist,2026-02-21T00:00:00,,7,Organizar,[],False,True,155
Hacer check in de arena,2026-02-21T00:00:00,,5,Hacer,[],False,True,156
Definir la cocina,2026-02-21T00:00:00,,4,Definir,[],False,True,157
Hacer seguimiento de la zapatera.,2026-02-21T00:00:00,,6,Hacer,[],False,True,158
Investigar sobre el hogar.,2026-02-21T00:00:00,,5,Investigar,[],False,True,159
Responder el mensaje sobre el refrigerador.,2026-02-21T00:00:00,,10,Responder,"[""Se agregó 'el mensaje sobre' para mayor claridad.""]",False,True,160
Asistir a la clase de supermercado.,2026-02-21T00:00:00,,7,Asistir,['Reformulación para mayor claridad y naturalidad.'],False,True,161
Revisar las prioridades de la cocina,2026-02-21T00:00:00,,7,Revisar,[],False,True,162
Sacar la basura y archivar documentos.,2026-02-21T00:00:00,,10,Sacar,['Reformulación para mayor claridad y naturalidad.'],False,True,163
Sacar la salida de reciclaje.,2026-02-21T00:00:00,,6,Sacar,[],False,True,164
Enviar la zapatera y confirmar la recepción.,2026-02-21T00:00:00,,10,Enviar,"[""Se agregó el artículo 'la' antes de 'zapatera' y 'recepción' para mayor claridad.""]",False,True,165
Respaldar una zapatera.,2026-02-21T00:00:00,,5,Respaldar,"[""Se eliminó 'hoy' ya que se asumió la fecha por defecto.""]",False,True,166
Llamar al supermercado,2026-02-21T00:00:00,supermercado,5,Llamar,[],False,True,167
Imprimir el baño y confirmar recepción.,2026-02-21T00:00:00,,10,Imprimir,['Reformulación para mayor claridad.'],False,True,168
Limpiar los platos,2026-02-21T00:00:00,,4,Limpiar,[],False,True,169
Reflexionar sobre el hogar,2026-02-21T00:00:00,,5,Reflexionar,[],False,True,170
Revisar la alacena,2026-02-21T00:00:00,,4,Revisar,[],False,True,171
Enviar la ropa a la lavandería.,2026-02-21T00:00:00,lavandería,7,Enviar,"['Reformulación de la frase para mayor claridad', ""Adición del artículo 'la' antes de 'ropa'""]",False,True,172
Etiquetar la bodega.,2026-02-21T00:00:00,bodega,5,Etiquetar,['Reformulación para mayor claridad y naturalidad.'],False,True,173
Entregar la cama y archivar.,2026-02-21T00:00:00,,7,Entregar,[],False,True,174
Revisar la clase de cama,2026-02-21T00:00:00,,5,Revisar,[],False,True,175
Planear el hogar y archivar.,2026-02-21T00:00:00,,8,Planear,['Reformulación para mayor claridad.'],False,True,176
Imprimir el documento y archivar.,2026-02-21T00:00:00,,8,Imprimir,"[""Se agregó 'el documento' para mayor claridad.""]",False,True,177
Guardar el refrigerador.,2026-02-21T00:00:00,,4,Guardar,[],False,True,178
Llamar a mantenimiento.,2026-02-21T00:00:00,,4,Llamar,[],False,True,179
Depurar la arena con el checklist.,2026-02-21T00:00:00,,10,Depurar,[],False,True,180
Cocinar,2026-02-21T00:00:00,,1,Cocinar,[],False,True,181
Llamar para preguntar sobre reciclaje.,2026-02-21T00:00:00,,7,Llamar,['Reformulación para mayor claridad y naturalidad.'],False,True,182
Revisar la bodega,2026-02-21T00:00:00,bodega,4,Revisar,[],False,True,183
Programar la zapatera en el calendario,2026-02-21T00:00:00,,8,Programar,[],False,True,184
Decidir sobre la cama,2026-02-21T00:00:00,,5,Decidir,['Reformulación para mayor claridad'],True,True,185
Revisar el borrador en el refrigerador,2026-02-21T00:00:00,refrigerador,7,Revisar,"[""Se agregó 'el' antes de 'borrador'"", ""Se cambió 'refri' por 'refrigerador'""]",False,True,186
Limpiar el supermercado antes de las 18:00:00.,2026-02-21T00:00:00,supermercado,8,Limpiar,"['Ajustar la hora a formato 24 horas', ""Agregar artículo 'el' antes de 'supermercado'""]",False,True,187
Reflexionar sobre la zapatera.,2026-02-21T00:00:00,,5,Reflexionar,[],False,True,188
Renovar la alacena en el calendario,2026-02-21T00:00:00,,8,Renovar,[],False,True,189
Agendar una junta en el baño,2026-02-21T00:00:00,baño,7,Agendar,"[""Reformulación de 'junta bano' a 'Agendar una junta en el baño'""]",False,True,190
Revisar el refrigerador,2026-02-21T00:00:00,,4,Revisar,[],False,True,191
Documentar una bodega y dar seguimiento.,2026-02-21T00:00:00,bodega,10,Documentar,[],False,True,192
Asistir a la clase con closet.,2026-02-21T00:00:00,,6,Asistir,[],False,True,193
Revisar prioridades en el supermercado,2026-02-21T00:00:00,supermercado,6,Revisar,['Se ajustó la frase para que sea clara y ejecutable.'],False,True,194
Organizar la zapatera.,2026-02-21T00:00:00,,5,Organizar,[],False,True,195
Entregar la bodega y dar seguimiento.,2026-02-21T00:00:00,bodega,10,Entregar,"[""Se agregó 'la' antes de 'bodega' para mayor claridad.""]",False,True,196
Hacer seguimiento con el reciclaje,2026-02-21T00:00:00,,7,Hacer,[],False,True,197
Programar el arena y archivar.,2026-02-21T00:00:00,,7,Programar,[],False,True,198
Validar un escritorio y dejar evidencia.,2026-02-21T00:00:00,,10,Validar,[],False,True,199
Llenar la cocina en el calendario,2026-02-21T00:00:00,cocina,8,Llenar,['Reformulación para mayor claridad'],False,True,200
Limpiar la bodega con el checklist.,2026-02-21T00:00:00,la bodega,10,Limpiar,"[""Se agregó 'la' antes de 'bodega' para mayor claridad.""]",False,True,201
Validar la zapatera,2026-02-21T00:00:00,,5,Validar,[],False,True,202
Organizar el closet,2026-02-21T00:00:00,,4,Organizar,['Reformulación de la frase para mayor claridad'],False,True,203
Entregar una despensa en Notion,2026-02-21T00:00:00,Notion,7,Entregar,[],False,True,204
Entregar el hogar.,2026-02-21T00:00:00,,4,Entregar,[],False,True,205
Depurar la lavandería,2026-02-21T00:00:00,,4,Depurar,[],False,True,206
Agendar una arena.,2026-02-21T00:00:00,,5,Agendar,[],False,True,207
Limpiar la cocina,2026-02-21T00:00:00,cocina,4,Limpiar,[],False,True,208
Llamar a casa,2026-02-21T00:00:00,casa,4,Llamar,[],False,True,209
Documentar la despensa y archivar.,2026-02-21T00:00:00,,7,Documentar,[],False,True,210
Llamar a la lavandería,2026-02-21T00:00:00,,5,Llamar,"[""Reformulación de 'preguntas: lavanderia' a 'Llamar a la lavandería'""]",False,True,211
Preparar la bodega.,2026-02-21T00:00:00,la bodega,5,Preparar,"[""Se eliminó 'esta semana' para mayor claridad.""]",False,True,212
Ir al supermercado.,2026-02-21T00:00:00,supermercado,5,Ir,"[""Reformulación de 'idea: supermercado' a 'Ir al supermercado.'""]",False,True,213
Respaldar la despensa.,2026-02-21T00:00:00,,4,Respaldar,[],False,True,214
Revisar la zapatera,2026-02-21T00:00:00,,4,Revisar,[],False,True,215
Revisar opciones para arena,2026-02-21T00:00:00,,5,Revisar,[],False,True,216
Juntar el closet.,2026-02-21T00:00:00,,3,Juntar,[],False,True,217
Asistir a la clase de hogar.,2026-02-21T00:00:00,,7,Asistir,[],False,True,218
Hacer seguimiento con la zapatera.,2026-02-21T00:00:00,,7,Hacer,[],False,True,219
Programar la cama en el calendario,2026-02-21T00:00:00,,10,Programar,['Reformulación para mayor claridad'],False,True,220
Configurar un baño y dejar evidencia.,2026-02-21T00:00:00,,10,Configurar,[],False,True,221
Revisar la plomería este miércoles a las 6:30.,2026-02-22T06:30:00,,10,Revisar,['Se ajustó la frase para mayor claridad y se añadió la hora específica.'],False,False,222
Agendar cita de revisión de plomería.,2026-03-07T14:00:00,,7,Agendar,"['Reformulación de la frase para mayor claridad', 'Eliminación de detalles temporales innecesarios']",False,False,223
Lavar ropa y sábanas.,2026-02-22T00:00:00,,5,Lavar,['Se eliminó la referencia a fechas específicas y se simplificó la acción.'],False,True,224
Agendar evento de revisión de plomería.,2026-02-20T17:00:00,,8,Agendar,['Reformulación de la frase para mayor claridad y naturalidad.'],False,False,225
Asistir a la junta de revisión de filtros de ventilación,2026-06-24T10:30:00,,10,Asistir,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante']",False,False,226
Realizar evento de mantenimiento del boiler a las 07:30,2026-02-21T07:30:00,,10,Realizar,"['Reformulación de la frase para mayor claridad', ""Eliminación de información redundante como 'super rápido' y '5 hrs'""]",False,False,227
Iniciar sesión de lavado de ropa y sábanas.,2026-12-28T08:30:00,,10,Iniciar,['Reformulación de la frase para mayor claridad y naturalidad.'],False,False,228
Ir a misa,2026-02-21T00:00:00,,3,Ir,[],False,True,229
