id,creado_en,fecha_vencimiento,canal,texto_original,area,tema,intencion,estado,prioridad,longitud_texto,numero_palabras,tiene_pregunta,tiene_fecha,texto_limpio,texto_estandar,fecha_detectada,lugar,longitud_tokens,verbo_principal,cambios,es_ambiguo,es_fecha_default
33,05/10/2026,21/10/2026,Voz,Estudiar curso de Python,Desarrollo Personal,Estudio,Tarea,Pendiente,1,24,4,0,0,estudiar curso de python,Estudiar el curso de Python,2026-02-21T00:00:00,,6,Estudiar,[],False,True
37,12/01/2026,15/01/2026,Voz,Meditar 5 minutos,Desarrollo Personal,Organizacion,Tarea,Pendiente,2,17,3,0,0,meditar 5 minutos,Meditar 5 minutos,2026-02-21T00:00:00,,3,Meditar,[],False,True
38,12/10/2027,30/10/2027,Voz,Escribir en el diario,Desarrollo Personal,Organizacion,Nota,Pendiente,4,21,4,0,0,escribir en el diario,Escribir en el diario,2026-02-21T00:00:00,,5,Escribir,[],False,True
75,16/09/2026,28/09/2026,Texto,Checklist borrador: respaldos,Desarrollo Personal,Organizacion,Nota,Pendiente,4,29,3,0,0,checklist borrador: respaldos,Revisar los respaldos.,2026-02-21T00:00:00,,4,Revisar,[],False,True
82,23/08/2027,22/09/2027,Texto,Brain dump: mensaje pendiente,Desarrollo Personal,Organizacion,Nota,Pendiente,4,29,4,0,0,brain dump: mensaje pendiente,Enviar un mensaje pendiente.,2026-02-21T00:00:00,,5,Enviar,[],False,True
94,11/10/2026,13/10/2026,Texto,Reflexionar sobre: mi sistema en Notion,Desarrollo Personal,Organizacion,Nota,Pendiente,1,39,6,0,0,reflexionar sobre: mi sistema en notion,Reflexionar sobre el sistema en Notion,2026-02-21T00:00:00,,8,Reflexionar,"[""Se agregó 'el' antes de 'sistema' para mayor claridad.""]",False,True
98,22/01/2026,06/02/2026,Voz,Limpiar mi actualizar apps,Desarrollo Personal,Organizacion,Tarea,Pendiente,3,26,4,0,0,limpiar mi actualizar apps,Limpiar y actualizar las aplicaciones,2026-02-21T00:00:00,,6,Limpiar,"['Reformulación de la frase para mayor claridad', 'Separación de acciones en dos verbos']",False,True
115,21/12/2025,09/01/2026,Voz,Clase con mi sistema en Notion,Desarrollo Personal,Organizacion,Cita,Pendiente,1,30,6,0,0,clase con mi sistema en notion,Asistir a la clase con mi sistema en Notion,2026-02-21T00:00:00,,10,Asistir,['Reformulación para mayor claridad y naturalidad'],False,True
123,09/10/2026,28/10/2026,Texto,Tema por investigar: mi estilo personal,Desarrollo Personal,Organizacion,Nota,Pendiente,2,39,6,0,0,tema por investigar: mi estilo personal,Investigar mi estilo personal.,2026-02-21T00:00:00,,5,Investigar,[],False,True
135,29/06/2026,10/07/2026,Texto,Preguntas: limpieza de fotos,Desarrollo Personal,Organizacion,Nota,Pendiente,4,28,4,0,0,preguntas: limpieza de fotos,Limpiar las fotos.,2026-02-21T00:00:00,,4,Limpiar,[],False,True
138,23/07/2026,10/08/2026,Texto,Visita con actualizar apps,Desarrollo Personal,Organizacion,Cita,Pendiente,4,26,4,0,0,visita con actualizar apps,Visitar para actualizar las aplicaciones.,2026-02-21T00:00:00,,7,Visitar,['Reformulación para mayor claridad y naturalidad.'],False,True
140,23/05/2026,16/06/2026,Voz,Lista de: limpieza de fotos,Desarrollo Personal,Organizacion,Nota,Pendiente,3,27,5,0,0,lista de: limpieza de fotos,Limpiar las fotos.,2026-02-21T00:00:00,,4,Limpiar,[],False,True
147,26/09/2027,07/10/2027,Texto,Llamada con libros,Desarrollo Personal,Organizacion,Cita,Pendiente,2,18,3,0,0,llamada con libros,Llamar para preguntar sobre los libros.,2026-02-21T00:00:00,,8,Llamar,['Reformulación para mayor claridad y naturalidad.'],False,True
156,21/10/2026,26/10/2026,Voz,Notas sobre: libros,Desarrollo Personal,Organizacion,Nota,Pendiente,2,19,3,0,0,notas sobre: libros,Revisar libros,2026-02-21T00:00:00,,3,Revisar,"[""Se eliminó la palabra 'notas' para hacer la instrucción más clara.""]",False,True
165,11/04/2026,28/04/2026,Texto,Recordatorio: mi sistema en Notion,Desarrollo Personal,Organizacion,Nota,Pendiente,4,34,5,0,0,recordatorio: mi sistema en notion,Revisar mi sistema en Notion,2026-02-21T00:00:00,,6,Revisar,"[""Se eliminó la palabra 'recordatorio' y se ajustó la frase para mayor claridad.""]",False,True
171,07/11/2026,08/11/2026,Voz,Definir: actualizar apps,Desarrollo Personal,Organizacion,Nota,Pendiente,4,24,3,0,0,definir: actualizar apps,Actualizar las aplicaciones.,2026-02-21T00:00:00,,4,Actualizar,[],False,True
175,01/09/2026,12/09/2026,Texto,Llamar el visita y archivar,Desarrollo Personal,Organizacion,Tarea,Pendiente,1,27,5,0,0,llamar el visita y archivar,Llamar a la visita y archivar.,2026-02-21T00:00:00,,10,Llamar,"[""Se agregó 'a' antes de 'la visita' para mayor claridad.""]",False,True
181,02/05/2026,18/05/2026,Texto,Armar mi limpieza de fotos esta semana,Desarrollo Personal,Organizacion,Tarea,Pendiente,2,38,7,0,0,armar mi limpieza de fotos esta semana,Armar la limpieza de fotos,2026-02-21T00:00:00,,6,Armar,['Reformulación para mayor claridad'],False,True
198,26/08/2026,28/08/2026,Voz,Lista de: flashcards,Desarrollo Personal,Organizacion,Nota,Pendiente,3,20,3,0,0,lista de: flashcards,Crear flashcards.,2026-02-21T00:00:00,,3,Crear,[],False,True
213,25/02/2026,20/03/2026,Voz,Comprar una limpieza de fotos esta semana,Desarrollo Personal,Organizacion,Tarea,Pendiente,1,41,7,0,0,comprar una limpieza de fotos esta semana,Comprar una limpieza de fotos.,2026-02-21T00:00:00,,7,Comprar,"[""Eliminada la referencia temporal 'esta semana' para establecer una fecha por defecto.""]",False,True
225,04/02/2027,28/02/2027,foto,Subir una bibliografia y dejar evidencia,Desarrollo Personal,Organizacion,Tarea,Pendiente,3,40,6,0,0,subir una bibliografia y dejar evidencia,Subir una bibliografía y dejar evidencia.,2026-02-21T00:00:00,,10,Subir,[],False,True
279,02/07/2026,23/07/2026,Texto,Clase con limpieza de fotos,Desarrollo Personal,Organizacion,Cita,Pendiente,2,27,5,0,0,clase con limpieza de fotos,Asistir a la clase de limpieza de fotos,2026-02-21T00:00:00,,7,Asistir,['Reformulación para mayor claridad y naturalidad'],False,True
280,21/08/2026,12/09/2026,Voz,Checklist borrador: actualizar apps,Desarrollo Personal,Organizacion,Nota,Pendiente,4,35,4,0,0,checklist borrador: actualizar apps,Actualizar las aplicaciones.,2026-02-21T00:00:00,,4,Actualizar,[],False,True
284,24/10/2026,18/11/2026,Texto,Respaldar mi quiz en Notion,Desarrollo Personal,Organizacion,Tarea,Pendiente,3,27,5,0,0,respaldar mi quiz en notion,Respaldar el quiz en Notion,2026-02-21T00:00:00,,6,Respaldar,[],False,True
285,26/05/2026,21/06/2026,foto,Tema por investigar: mensaje pendiente,Desarrollo Personal,Organizacion,Nota,Pendiente,3,38,5,0,0,tema por investigar: mensaje pendiente,Investigar el mensaje pendiente.,2026-02-21T00:00:00,,5,Investigar,[],False,True
302,21/04/2026,29/04/2026,Texto,Brain dump: limpieza de fotos,Desarrollo Personal,Organizacion,Nota,Pendiente,1,29,5,0,0,brain dump: limpieza de fotos,Limpiar las fotos.,2026-02-21T00:00:00,,4,Limpiar,[],False,True
337,28/03/2027,26/04/2027,Texto,Agendar una visita y archivar,Desarrollo Personal,Organizacion,Tarea,Pendiente,3,29,5,0,0,agendar una visita y archivar,Agendar una visita,2026-02-21T00:00:00,,4,Agendar,"[""Se eliminó 'y archivar' ya que no se especifica una acción clara.""]",False,True
348,13/09/2026,21/09/2026,Texto,Anotar una libros y confirmar recepcion,Desarrollo Personal,Organizacion,Tarea,Pendiente,3,39,6,0,0,anotar una libros y confirmar recepcion,Anotar los libros y confirmar la recepción.,2026-02-21T00:00:00,,10,Anotar,"[""Se ajustó 'una libros' a 'los libros' para concordancia gramatical."", ""Se agregó 'la' antes de 'recepción' para mayor claridad.""]",False,True
402,25/04/2027,25/05/2027,foto,Renovar la quiz,Desarrollo Personal,Organizacion,Tarea,Pendiente,4,15,3,0,0,renovar la quiz,Renovar el quiz,2026-02-21T00:00:00,,4,Renovar,[],False,True
403,17/06/2026,22/06/2026,Voz,Revisar una quiz en Notion,Desarrollo Personal,Organizacion,Tarea,Pendiente,3,26,5,0,0,revisar una quiz en notion,Revisar un quiz en Notion,2026-02-21T00:00:00,Notion,6,Revisar,[],False,True
404,04/12/2026,02/01/2027,Texto,Descargar mi actualizar apps y confirmar recepcion,Desarrollo Personal,Organizacion,Tarea,Pendiente,4,50,7,0,0,descargar mi actualizar apps y confirmar recepcion,Descargar la actualización de las aplicaciones y confirmar la recepción.,2026-02-21T00:00:00,,15,Descargar,['Reformulación para mayor claridad y naturalidad.'],False,True
425,25/02/2026,27/03/2026,foto,Visita: limpieza de fotos,Desarrollo Personal,Organizacion,Cita,Pendiente,3,25,4,0,0,visita: limpieza de fotos,Limpiar fotos,2026-02-21T00:00:00,,3,Limpiar,[],False,True
431,04/03/2027,02/04/2027,Voz,Registrar la visita,Desarrollo Personal,Organizacion,Tarea,Pendiente,2,19,3,0,0,registrar la visita,Registrar la visita,2026-02-21T00:00:00,,4,Registrar,[],False,True
434,07/04/2027,14/04/2027,Voz,Evento de mi estilo personal,Desarrollo Personal,Organizacion,Cita,Pendiente,2,28,5,0,0,evento de mi estilo personal,Asistir a un evento de estilo personal.,2026-02-21T00:00:00,,7,Asistir,['Reformulación para mayor claridad y naturalidad.'],False,True
446,21/04/2027,29/04/2027,Voz,Recordatorio: quiz,Desarrollo Personal,Organizacion,Nota,Pendiente,2,18,2,0,0,recordatorio: quiz,Estudiar para el quiz.,2026-02-21T00:00:00,,5,Estudiar,[],False,True
454,12/12/2026,02/01/2027,Voz,Entrega | limpieza de fotos,Desarrollo Personal,Organizacion,Cita,Pendiente,3,27,5,0,0,entrega limpieza de fotos,Entregar la limpieza de fotos.,2026-02-21T00:00:00,,6,Entregar,[],False,True
532,16/02/2027,08/03/2027,Voz,Respaldar mi mensaje pendiente,Desarrollo Personal,Organizacion,Tarea,Pendiente,3,30,4,0,0,respaldar mi mensaje pendiente,Respaldar el mensaje pendiente.,2026-02-21T00:00:00,,5,Respaldar,[],False,True
542,13/05/2026,18/05/2026,foto,Reflexionar sobre: limpieza de fotos,Desarrollo Personal,Organizacion,Nota,Pendiente,2,36,5,0,0,reflexionar sobre: limpieza de fotos,Reflexionar sobre la limpieza de fotos.,2026-02-21T00:00:00,,7,Reflexionar,[],False,True
549,26/05/2026,15/06/2026,Voz,Opciones para: mensaje pendiente,Desarrollo Personal,Organizacion,Nota,Pendiente,4,32,4,0,0,opciones para: mensaje pendiente,Revisar opciones para el mensaje pendiente.,2026-02-21T00:00:00,,10,Revisar,[],False,True
553,29/08/2026,11/09/2026,Voz,Registrar el bibliografia y dar seguimiento,Desarrollo Personal,Organizacion,Tarea,Pendiente,3,43,6,0,0,registrar el bibliografia y dar seguimiento,Registrar la bibliografía y dar seguimiento.,2026-02-21T00:00:00,,10,Registrar,"[""Se agregó 'la' antes de 'bibliografía' para mayor claridad.""]",False,True
559,20/11/2026,29/11/2026,Texto,Idea: mi estilo personal,Desarrollo Personal,Organizacion,Nota,Pendiente,1,24,4,0,0,idea: mi estilo personal,Definir mi estilo personal,2026-02-21T00:00:00,,5,Definir,['Reformulación para claridad y ejecución'],False,True
569,05/03/2026,21/03/2026,Voz,"Ehm, mmm bloque para ordenar pensamientos el proximo mes, o sea el 21 de marzo de 2026 a las 9:00.",Desarrollo Personal,Organizacion,Cita,Pendiente,2,98,20,0,1,ehm mmm bloque para ordenar pensamientos el proximo mes o sea el 21 de marzo de 2026 a las 9:00,Ordenar pensamientos el 2026-03-21 a las 9:00.,2026-03-21T09:00:00,,10,Ordenar,"['Reformulación de la frase para mayor claridad', 'Eliminación de palabras innecesarias']",False,False
570,31/01/2026,25/02/2026,Voz,"Nomas para que no se te vaya, rapido sesion de bloque para ordenar pensamientos este miercoles a las 11:00.",Desarrollo Personal,Organizacion,Cita,Pendiente,3,107,19,0,1,nomas para que no se te vaya rapido sesion de bloque para ordenar pensamientos este miercoles a las 11:00,Agendar sesión de bloque para ordenar pensamientos.,2026-02-22T11:00:00,,10,Agendar,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante']",False,False
571,21/11/2026,26/11/2026,Voz,"Oigan, Cita de tiempo para planear la semana el 26 de noviembre a las 21:00.",Desarrollo Personal,Lectura,Cita,Pendiente,1,76,15,0,1,oigan cita de tiempo para planear la semana el 26 de noviembre a las 21:00,Agendar cita para planear la semana.,2023-11-26T21:00:00,,8,Agendar,"[""Se eliminó la referencia a 'oigan' para mayor claridad."", 'Se ajustó la frase para que sea más natural y ejecutable.']",False,False
572,10/10/2027,04/11/2027,Voz,"Te dejo esto: rapido espacio para leer en calma el proximo ano, el 4 de noviembre de 2027 a las 8:30.",Desarrollo Personal,Organizacion,Cita,Pendiente,3,101,21,0,1,te dejo esto: rapido espacio para leer en calma el proximo ano el 4 de noviembre de 2027 a las 8:30,Leer en calma el 4 de noviembre de 2027 a las 8:30.,2027-11-04T08:30:00,,10,Leer,['Reformulación de la frase para mayor claridad y naturalidad.'],False,False
573,01/02/2026,24/02/2026,Voz,"Nomas para que no se te vaya, Junta de bloque para ordenar pensamientos el martes a las 8:30 (1 hr).",Desarrollo Personal,Organizacion,Cita,Pendiente,3,100,20,0,1,nomas para que no se te vaya junta de bloque para ordenar pensamientos el martes a las 8:30 1 hr,Agendar junta de bloque para ordenar pensamientos.,2026-02-21T08:30:00,,10,Agendar,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante']",False,False
574,18/02/2027,02/03/2027,Voz,"Ehm, Salida de reset del cuarto el proximo ano el 2 de marzo de 2027 a las 16:00 (45 min).",Desarrollo Personal,Organizacion,Cita,Pendiente,1,90,20,0,1,ehm salida de reset del cuarto el proximo ano el 2 de marzo de 2027 a las 16:00 45 min,Revisar la salida de reset del cuarto,2027-03-02T16:00:00,,8,Revisar,"['Eliminación de información temporal innecesaria', 'Ajuste de la frase para mayor claridad']",False,False
611,16/02/2026,25/02/2026,Voz,"Oigan, Revision de curso online (leccion) el miercoles a las 17:00 (2 hrs).",Desarrollo Personal,Estudio,Cita,Pendiente,3,75,13,0,1,oigan revision de curso online leccion el miercoles a las 17:00 2 hrs,Revisar la lección del curso en línea el miércoles a las 17:00 por 2 horas.,2026-02-22T17:00:00,,17,Revisar,"['Se ajustó la frase para mayor claridad y naturalidad.', 'Se especificó la duración de la revisión.']",False,False
612,01/03/2026,23/03/2026,Voz,"Te dejo esto: literal sesion de estudio del diplomado este jueves a las 21:00, si se mueve queda para el 23 de marzo a las 21:00.",Desarrollo Personal,Estudio,Cita,Pendiente,3,129,26,0,1,te dejo esto: literal sesion de estudio del diplomado este jueves a las 21:00 si se mueve queda para el 23 de marzo a las 21:00,Agendar sesión de estudio del diplomado el 2026-02-23 a las 21:00,2026-02-23T21:00:00,,10,Agendar,"['Se eliminó la ambigüedad sobre el cambio de fecha y se estableció una fecha concreta.', 'Se ajustó la redacción para mayor claridad.']",False,False
